8,8,8
8,8,8
6,8,6
8,8,8
8,10,8
6,6,6
8,10,6
14,18,6
8,8,8
6,6,6
6,6,6
8,8,8
8,8,8
8,12,12
8,8,8
4,12,4
8,8,8
6,10,6
8,10,6
12,12,12
8,8,8
8,10,6
8,8,8
8,12,6
14,12,10
6,8,6
12,12,12
16,16,16
6,6,6
8,12,8
8,8,8
6,8,6
8,10,8
8,14,6
8,8,8
14,10,8
10,10,10
6,6,6
6,6,6
10,10,10
8,8,8
6,8,6
6,6,6
8,8,8
6,6,6
8,8,8
8,8,8
12,12,12
8,14,6
6,6,6
6,6,6
6,6,6
6,6,6
8,8,8
8,8,8
10,12,10
6,14,6
8,8,8
6,14,6
12,12,12
12,12,12
14,14,14
10,10,10
8,8,8
6,10,6
6,6,6
8,8,8
14,18,12
8,8,8
8,8,8
10,18,14
6,10,6
10,16,10
6,10,6
8,8,8
8,10,8
12,22,8
10,10,10
10,10,10
6,6,6
6,6,6
12,12,10
6,8,6
12,12,12
8,8,8
8,12,8
12,12,8
6,8,6
10,10,10
8,8,8
8,8,8
10,26,8
6,18,6
6,8,6
8,12,6
12,14,10
6,6,6
6,6,6
6,12,6
6,6,6
6,6,6
10,10,10
6,8,6
10,26,8
8,10,6
8,8,8
10,10,10
8,8,8
8,8,8
8,12,8
12,16,10
6,6,6
6,14,6
12,12,12
8,8,8
8,8,8
6,6,6
4,6,4
12,14,10
6,6,6
8,8,8
8,8,8
4,8,4
8,10,8
6,6,6
14,14,14
6,8,4
10,10,10
8,8,8
8,10,6
8,8,8
8,8,8
8,18,6
6,8,6
8,8,8
18,18,18
8,8,8
6,8,6
14,14,14
14,14,14
10,10,10
6,8,6
12,12,12
8,14,8
12,10,10
12,12,12
6,6,6
8,16,8
12,12,12
12,12,12
6,6,6
8,10,8
6,6,6
8,18,6
8,8,8
8,14,6
6,6,6
6,10,4
6,6,6
6,6,6
10,10,10
8,8,8
8,12,8
8,8,8
12,12,12
8,8,8
12,10,8
8,8,8
6,6,6
6,8,6
6,6,6
14,26,8
14,20,12
6,8,6
8,14,8
8,14,8
6,12,6
6,12,6
8,8,8
8,8,8
8,10,6
8,8,8
8,10,8
10,10,6
6,8,6
8,10,6
8,8,8
12,12,12
6,6,6
10,10,10
8,12,8
6,10,6
8,12,6
8,12,6
6,8,8
10,10,10
6,10,6
8,12,12
10,14,10
8,8,8
6,8,6
6,8,6
8,10,6
8,12,6
8,12,10
6,10,6
6,10,6
6,6,6
10,16,8
8,8,8
8,8,8
12,12,12
8,8,8
14,12,8
10,12,8
8,8,8
8,8,8
10,10,10
8,8,8
10,10,10
6,6,6
8,14,8
6,6,6
6,6,6
8,8,8
6,6,6
12,12,12
10,12,8
8,10,6
6,6,6
8,10,8
6,6,6
6,6,6
8,8,8
6,8,6
8,16,6
6,6,6
6,6,6
6,6,6
8,14,8
6,6,6
6,10,6
14,14,14
10,10,10
8,8,8
8,8,8
6,8,8
6,8,6
